sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
42;SDS011;19;0.323;32.576;2018-04-03T08:02:58.724826+00:00;P2;68.20
42;SDS011;19;0.323;32.576;2018-04-03T08:02:58.724826+00:00;P1;73.83
42;SDS011;19;0.323;32.576;2018-04-03T08:07:58.243813+00:00;P2;23.80
42;SDS011;19;0.323;32.576;2018-04-03T08:07:58.243813+00:00;P1;29.70
42;SDS011;19;0.323;32.576;2018-04-03T08:12:59.755148+00:00;humidity;68.20
42;SDS011;19;0.323;32.576;2018-04-03T08:12:59.755148+00:00;temperature;27.60
42;SDS011;19;0.323;32.576;2018-04-03T08:33:11.104756+00:00;P2;104.73
42;SDS011;19;0.323;32.576;2018-04-03T08:33:11.104756+00:00;P1;114.90
42;SDS011;19;0.323;32.576;2018-04-03T08:43:11.262125+00:00;P2;50.80
42;SDS011;19;0.323;32.576;2018-04-03T08:43:11.262125+00:00;P1;55.23
42;SDS011;19;0.323;32.576;2018-04-03T08:43:13.144207+00:00;humidity;63.30
42;SDS011;19;0.323;32.576;2018-04-03T08:43:13.144207+00:00;temperature;28.50
42;SDS011;19;0.323;32.576;2018-04-03T08:53:11.601735+00:00;P2;41.47
42;SDS011;19;0.323;32.576;2018-04-03T08:53:11.601735+00:00;P1;44.87
42;SDS011;19;0.323;32.576;2018-04-03T09:05:40.877812+00:00;P2;8.53
42;SDS011;19;0.323;32.576;2018-04-03T09:05:40.877812+00:00;P1;11.17
42;SDS011;19;0.323;32.576;2018-04-03T09:08:10.582404+00:00;P2;16.70
42;SDS011;19;0.323;32.576;2018-04-03T09:08:10.582404+00:00;P1;27.67
42;SDS011;19;0.323;32.576;2018-04-03T09:10:40.963732+00:00;P2;27.97
42;SDS011;19;0.323;32.576;2018-04-03T09:10:40.963732+00:00;P1;39.97
42;SDS011;19;0.323;32.576;2018-04-03T09:15:43.260515+00:00;P2;16.60
42;SDS011;19;0.323;32.576;2018-04-03T09:15:43.260515+00:00;P1;21.33
42;SDS011;19;0.323;32.576;2018-04-03T09:15:43.506135+00:00;humidity;59.60
42;SDS011;19;0.323;32.576;2018-04-03T09:15:43.506135+00:00;temperature;29.20
42;SDS011;19;0.323;32.576;2018-04-03T09:18:12.165487+00:00;P2;9.93
42;SDS011;19;0.323;32.576;2018-04-03T09:18:12.165487+00:00;P1;12.13
42;SDS011;19;0.323;32.576;2018-04-03T09:18:13.474129+00:00;humidity;59.90
42;SDS011;19;0.323;32.576;2018-04-03T09:18:13.474129+00:00;temperature;29.20
42;SDS011;19;0.323;32.576;2018-04-03T09:23:12.121563+00:00;humidity;60.30
42;SDS011;19;0.323;32.576;2018-04-03T09:23:12.121563+00:00;temperature;29.00
42;SDS011;19;0.323;32.576;2018-04-03T09:30:39.359894+00:00;humidity;59.40
42;SDS011;19;0.323;32.576;2018-04-03T09:30:39.359894+00:00;temperature;28.00
42;SDS011;19;0.323;32.576;2018-04-03T09:43:08.621404+00:00;humidity;59.90
42;SDS011;19;0.323;32.576;2018-04-03T09:43:08.621404+00:00;temperature;29.20
42;SDS011;19;0.323;32.576;2018-04-03T09:45:38.508517+00:00;P2;9.60
42;SDS011;19;0.323;32.576;2018-04-03T09:45:38.508517+00:00;P1;16.10
42;SDS011;19;0.323;32.576;2018-04-03T09:45:39.860569+00:00;humidity;60.80
42;SDS011;19;0.323;32.576;2018-04-03T09:45:39.860569+00:00;temperature;29.20
42;SDS011;19;0.323;32.576;2018-04-03T09:48:10.727734+00:00;P2;16.73
42;SDS011;19;0.323;32.576;2018-04-03T09:48:10.727734+00:00;P1;18.60
42;SDS011;19;0.323;32.576;2018-04-03T09:48:11.917181+00:00;humidity;59.70
42;SDS011;19;0.323;32.576;2018-04-03T09:48:11.917181+00:00;temperature;29.20
42;SDS011;19;0.323;32.576;2018-04-03T09:50:44.841144+00:00;humidity;60.20
42;SDS011;19;0.323;32.576;2018-04-03T09:50:44.841144+00:00;temperature;29.30
42;SDS011;19;0.323;32.576;2018-04-03T10:03:11.301334+00:00;P2;35.13
42;SDS011;19;0.323;32.576;2018-04-03T10:03:11.301334+00:00;P1;38.30
42;SDS011;19;0.323;32.576;2018-04-03T10:05:44.006455+00:00;P2;19.83
42;SDS011;19;0.323;32.576;2018-04-03T10:05:44.006455+00:00;P1;22.03
42;SDS011;19;0.323;32.576;2018-04-03T10:10:44.791313+00:00;P2;23.57
42;SDS011;19;0.323;32.576;2018-04-03T10:10:44.791313+00:00;P1;26.27
42;SDS011;19;0.323;32.576;2018-04-03T10:18:16.624164+00:00;P2;33.47
42;SDS011;19;0.323;32.576;2018-04-03T10:18:16.624164+00:00;P1;36.87
42;SDS011;19;0.323;32.576;2018-04-03T10:20:47.719747+00:00;humidity;59.10
42;SDS011;19;0.323;32.576;2018-04-03T10:20:47.719747+00:00;temperature;29.40
42;SDS011;19;0.323;32.576;2018-04-03T10:33:16.175338+00:00;P2;67.13
42;SDS011;19;0.323;32.576;2018-04-03T10:33:16.175338+00:00;P1;72.37
42;SDS011;19;0.323;32.576;2018-04-03T10:33:17.080142+00:00;humidity;57.80
42;SDS011;19;0.323;32.576;2018-04-03T10:33:17.080142+00:00;temperature;29.80
42;SDS011;19;0.323;32.576;2018-04-03T10:38:16.383933+00:00;P2;12.97
42;SDS011;19;0.323;32.576;2018-04-03T10:38:16.383933+00:00;P1;15.87
42;SDS011;19;0.323;32.576;2018-04-03T10:40:52.674544+00:00;P2;30.03
42;SDS011;19;0.323;32.576;2018-04-03T10:40:52.674544+00:00;P1;32.47
42;SDS011;19;0.323;32.576;2018-04-03T10:40:56.935274+00:00;humidity;57.50
42;SDS011;19;0.323;32.576;2018-04-03T10:40:56.935274+00:00;temperature;30.10
42;SDS011;19;0.323;32.576;2018-04-03T10:43:26.841124+00:00;humidity;56.30
42;SDS011;19;0.323;32.576;2018-04-03T10:43:26.841124+00:00;temperature;30.20
42;SDS011;19;0.323;32.576;2018-04-03T10:48:27.536319+00:00;humidity;55.90
42;SDS011;19;0.323;32.576;2018-04-03T10:48:27.536319+00:00;temperature;30.30
42;SDS011;19;0.323;32.576;2018-04-03T10:53:29.410313+00:00;P2;4.20
42;SDS011;19;0.323;32.576;2018-04-03T10:53:29.410313+00:00;P1;5.70
42;SDS011;19;0.323;32.576;2018-04-03T10:53:31.008301+00:00;humidity;54.10
42;SDS011;19;0.323;32.576;2018-04-03T10:53:31.008301+00:00;temperature;30.30
42;SDS011;19;0.323;32.576;2018-04-03T10:58:30.798812+00:00;P2;4.50
42;SDS011;19;0.323;32.576;2018-04-03T10:58:30.798812+00:00;P1;8.33
42;SDS011;19;0.323;32.576;2018-04-03T11:04:09.574276+00:00;P2;6.23
42;SDS011;19;0.323;32.576;2018-04-03T11:04:09.574276+00:00;P1;8.03
42;SDS011;19;0.323;32.576;2018-04-03T11:06:44.237637+00:00;P2;12.37
42;SDS011;19;0.323;32.576;2018-04-03T11:06:44.237637+00:00;P1;14.50
42;SDS011;19;0.323;32.576;2018-04-03T11:06:47.594874+00:00;humidity;55.60
42;SDS011;19;0.323;32.576;2018-04-03T11:06:47.594874+00:00;temperature;30.00
42;SDS011;19;0.323;32.576;2018-04-03T11:09:16.134276+00:00;P2;17.73
42;SDS011;19;0.323;32.576;2018-04-03T11:09:16.134276+00:00;P1;23.70
42;SDS011;19;0.323;32.576;2018-04-03T11:09:18.835553+00:00;humidity;53.90
42;SDS011;19;0.323;32.576;2018-04-03T11:09:18.835553+00:00;temperature;29.90
42;SDS011;19;0.323;32.576;2018-04-03T11:11:53.288472+00:00;P2;8.70
42;SDS011;19;0.323;32.576;2018-04-03T11:11:53.288472+00:00;P1;11.73
42;SDS011;19;0.323;32.576;2018-04-03T11:11:54.068196+00:00;humidity;54.40
42;SDS011;19;0.323;32.576;2018-04-03T11:11:54.068196+00:00;temperature;29.70
42;SDS011;19;0.323;32.576;2018-04-03T11:19:33.038652+00:00;P2;7.18
42;SDS011;19;0.323;32.576;2018-04-03T11:19:33.038652+00:00;P1;11.68
42;SDS011;19;0.323;32.576;2018-04-03T11:19:34.680578+00:00;humidity;56.80
42;SDS011;19;0.323;32.576;2018-04-03T11:19:34.680578+00:00;temperature;28.90
42;SDS011;19;0.323;32.576;2018-04-03T11:22:04.082308+00:00;P2;15.40
42;SDS011;19;0.323;32.576;2018-04-03T11:22:04.082308+00:00;P1;19.23
42;SDS011;19;0.323;32.576;2018-04-03T11:22:06.957930+00:00;humidity;57.70
42;SDS011;19;0.323;32.576;2018-04-03T11:22:06.957930+00:00;temperature;28.60
42;SDS011;19;0.323;32.576;2018-04-03T11:27:07.438431+00:00;P2;15.57
42;SDS011;19;0.323;32.576;2018-04-03T11:27:07.438431+00:00;P1;21.17
42;SDS011;19;0.323;32.576;2018-04-03T11:29:40.703872+00:00;P2;7.87
42;SDS011;19;0.323;32.576;2018-04-03T11:29:40.703872+00:00;P1;14.63
42;SDS011;19;0.323;32.576;2018-04-03T11:29:44.846318+00:00;humidity;59.40
42;SDS011;19;0.323;32.576;2018-04-03T11:29:44.846318+00:00;temperature;27.70
42;SDS011;19;0.323;32.576;2018-04-03T11:32:16.614335+00:00;P2;10.77
42;SDS011;19;0.323;32.576;2018-04-03T11:32:16.614335+00:00;P1;13.73
42;SDS011;19;0.323;32.576;2018-04-03T11:34:48.921847+00:00;P2;39.83
42;SDS011;19;0.323;32.576;2018-04-03T11:34:48.921847+00:00;P1;56.40
42;SDS011;19;0.323;32.576;2018-04-03T11:34:51.800225+00:00;humidity;64.40
42;SDS011;19;0.323;32.576;2018-04-03T11:34:51.800225+00:00;temperature;27.20
42;SDS011;19;0.323;32.576;2018-04-03T11:37:31.426548+00:00;P2;9.30
42;SDS011;19;0.323;32.576;2018-04-03T11:37:31.426548+00:00;P1;15.67
42;SDS011;19;0.323;32.576;2018-04-03T11:37:34.747391+00:00;humidity;60.80
42;SDS011;19;0.323;32.576;2018-04-03T11:37:34.747391+00:00;temperature;27.10
42;SDS011;19;0.323;32.576;2018-04-03T11:40:08.170022+00:00;P2;9.40
42;SDS011;19;0.323;32.576;2018-04-03T11:40:08.170022+00:00;P1;22.13
42;SDS011;19;0.323;32.576;2018-04-03T11:40:10.996136+00:00;humidity;61.00
42;SDS011;19;0.323;32.576;2018-04-03T11:40:10.996136+00:00;temperature;26.90
42;SDS011;19;0.323;32.576;2018-04-03T11:42:44.245677+00:00;P2;7.90
42;SDS011;19;0.323;32.576;2018-04-03T11:42:44.245677+00:00;P1;12.60
42;SDS011;19;0.323;32.576;2018-04-03T11:42:44.782268+00:00;humidity;62.50
