sensor_id,sensor_type,location,lat,lon,timestamp,value_type,value
42,SDS011,19,0.323,32.576,2018-02-21T07:24:27.103718+00:00,P2,22.1
42,SDS011,19,0.323,32.576,2018-02-21T07:24:27.103718+00:00,P1,37.03
42,SDS011,19,0.323,32.576,2018-02-21T07:24:28.693178+00:00,humidity,65.1
42,SDS011,19,0.323,32.576,2018-02-21T07:24:28.693178+00:00,temperature,26.4
42,SDS011,19,0.323,32.576,2018-02-21T07:26:59.211947+00:00,P2,20.4
42,SDS011,19,0.323,32.576,2018-02-21T07:26:59.211947+00:00,P1,36.85
42,SDS011,19,0.323,32.576,2018-02-21T07:27:00.857357+00:00,humidity,64.6
42,SDS011,19,0.323,32.576,2018-02-21T07:27:00.857357+00:00,temperature,26.5
42,SDS011,19,0.323,32.576,2018-02-21T07:29:31.816092+00:00,P2,14
42,SDS011,19,0.323,32.576,2018-02-21T07:29:31.816092+00:00,P1,21.57
42,SDS011,19,0.323,32.576,2018-02-21T07:29:34.851439+00:00,humidity,64.1
42,SDS011,19,0.323,32.576,2018-02-21T07:29:34.851439+00:00,temperature,26.6
42,SDS011,19,0.323,32.576,2018-02-21T07:32:04.426529+00:00,P2,13.4
42,SDS011,19,0.323,32.576,2018-02-21T07:32:04.426529+00:00,P1,21.9
42,SDS011,19,0.323,32.576,2018-02-21T07:32:06.011279+00:00,humidity,63.6
42,SDS011,19,0.323,32.576,2018-02-21T07:32:06.011279+00:00,temperature,26.7
42,SDS011,19,0.323,32.576,2018-02-21T07:34:35.389060+00:00,P2,12.73
42,SDS011,19,0.323,32.576,2018-02-21T07:34:35.389060+00:00,P1,15.7
42,SDS011,19,0.323,32.576,2018-02-21T07:34:38.075684+00:00,humidity,63.3
42,SDS011,19,0.323,32.576,2018-02-21T07:34:38.075684+00:00,temperature,26.7
42,SDS011,19,0.323,32.576,2018-02-21T07:37:06.522262+00:00,P2,12.13
42,SDS011,19,0.323,32.576,2018-02-21T07:37:06.522262+00:00,P1,16.5
42,SDS011,19,0.323,32.576,2018-02-21T07:37:08.554302+00:00,humidity,63.2
42,SDS011,19,0.323,32.576,2018-02-21T07:37:08.554302+00:00,temperature,26.8
42,SDS011,19,0.323,32.576,2018-02-21T07:39:38.221606+00:00,P2,11.97
42,SDS011,19,0.323,32.576,2018-02-21T07:39:38.221606+00:00,P1,18.4
42,SDS011,19,0.323,32.576,2018-02-21T07:39:40.202237+00:00,humidity,63.2
42,SDS011,19,0.323,32.576,2018-02-21T07:39:40.202237+00:00,temperature,26.8
42,SDS011,19,0.323,32.576,2018-02-21T07:42:08.823152+00:00,P2,11.1
42,SDS011,19,0.323,32.576,2018-02-21T07:42:08.823152+00:00,P1,18.1
42,SDS011,19,0.323,32.576,2018-02-21T07:42:10.501990+00:00,humidity,62.9
42,SDS011,19,0.323,32.576,2018-02-21T07:42:10.501990+00:00,temperature,26.8
42,SDS011,19,0.323,32.576,2018-02-21T07:44:40.115450+00:00,P2,10.57
42,SDS011,19,0.323,32.576,2018-02-21T07:44:40.115450+00:00,P1,19.77
42,SDS011,19,0.323,32.576,2018-02-21T07:44:41.823126+00:00,humidity,62.9
42,SDS011,19,0.323,32.576,2018-02-21T07:44:41.823126+00:00,temperature,26.8
42,SDS011,19,0.323,32.576,2018-02-21T07:47:10.951706+00:00,P2,9.6
42,SDS011,19,0.323,32.576,2018-02-21T07:47:10.951706+00:00,P1,15.97
42,SDS011,19,0.323,32.576,2018-02-21T07:47:12.586792+00:00,humidity,62.8
42,SDS011,19,0.323,32.576,2018-02-21T07:47:12.586792+00:00,temperature,26.9
42,SDS011,19,0.323,32.576,2018-02-21T07:49:42.301505+00:00,P2,8.57
42,SDS011,19,0.323,32.576,2018-02-21T07:49:42.301505+00:00,P1,13.8
42,SDS011,19,0.323,32.576,2018-02-21T07:49:44.219400+00:00,humidity,62.6
42,SDS011,19,0.323,32.576,2018-02-21T07:49:44.219400+00:00,temperature,27
42,SDS011,19,0.323,32.576,2018-02-21T07:52:13.385944+00:00,P2,8.53
42,SDS011,19,0.323,32.576,2018-02-21T07:52:13.385944+00:00,P1,17.37
42,SDS011,19,0.323,32.576,2018-02-21T07:52:15.080381+00:00,humidity,62.3
42,SDS011,19,0.323,32.576,2018-02-21T07:52:15.080381+00:00,temperature,27.1
42,SDS011,19,0.323,32.576,2018-02-21T07:54:43.721935+00:00,P2,8.03
42,SDS011,19,0.323,32.576,2018-02-21T07:54:43.721935+00:00,P1,12.73
42,SDS011,19,0.323,32.576,2018-02-21T07:54:45.644732+00:00,humidity,62
42,SDS011,19,0.323,32.576,2018-02-21T07:54:45.644732+00:00,temperature,27.1
42,SDS011,19,0.323,32.576,2018-02-21T07:59:48.310704+00:00,P2,7.97
42,SDS011,19,0.323,32.576,2018-02-21T07:59:48.310704+00:00,P1,10.85
42,SDS011,19,0.323,32.576,2018-02-21T07:59:50.772446+00:00,humidity,61.8
42,SDS011,19,0.323,32.576,2018-02-21T07:59:50.772446+00:00,temperature,27.1
42,SDS011,19,0.323,32.576,2018-02-21T08:02:20.057569+00:00,P2,5.7
42,SDS011,19,0.323,32.576,2018-02-21T08:02:20.057569+00:00,P1,8.27
42,SDS011,19,0.323,32.576,2018-02-21T08:02:21.670868+00:00,humidity,61.7
42,SDS011,19,0.323,32.576,2018-02-21T08:02:21.670868+00:00,temperature,27.2
42,SDS011,19,0.323,32.576,2018-02-21T08:04:51.178512+00:00,P2,5.27
42,SDS011,19,0.323,32.576,2018-02-21T08:04:51.178512+00:00,P1,6.97
42,SDS011,19,0.323,32.576,2018-02-21T08:04:52.773572+00:00,humidity,61.4
42,SDS011,19,0.323,32.576,2018-02-21T08:04:52.773572+00:00,temperature,27.2
42,SDS011,19,0.323,32.576,2018-02-21T08:07:22.534544+00:00,P2,5.2
42,SDS011,19,0.323,32.576,2018-02-21T08:07:22.534544+00:00,P1,9.13
42,SDS011,19,0.323,32.576,2018-02-21T08:07:24.252128+00:00,humidity,61.3
42,SDS011,19,0.323,32.576,2018-02-21T08:07:24.252128+00:00,temperature,27.2
42,SDS011,19,0.323,32.576,2018-02-21T08:09:53.147002+00:00,P2,5.1
42,SDS011,19,0.323,32.576,2018-02-21T08:09:53.147002+00:00,P1,9.2
42,SDS011,19,0.323,32.576,2018-02-21T08:09:54.611761+00:00,humidity,61.1
42,SDS011,19,0.323,32.576,2018-02-21T08:09:54.611761+00:00,temperature,27.2
42,SDS011,19,0.323,32.576,2018-02-21T08:12:23.630392+00:00,P2,4.65
42,SDS011,19,0.323,32.576,2018-02-21T08:12:23.630392+00:00,P1,10.3
42,SDS011,19,0.323,32.576,2018-02-21T08:12:25.186968+00:00,humidity,60.9
42,SDS011,19,0.323,32.576,2018-02-21T08:12:25.186968+00:00,temperature,27.1
42,SDS011,19,0.323,32.576,2018-02-21T08:14:54.124598+00:00,P2,4.83
42,SDS011,19,0.323,32.576,2018-02-21T08:14:54.124598+00:00,P1,7.3
42,SDS011,19,0.323,32.576,2018-02-21T08:14:56.077577+00:00,humidity,60.9
42,SDS011,19,0.323,32.576,2018-02-21T08:14:56.077577+00:00,temperature,27
42,SDS011,19,0.323,32.576,2018-02-21T08:17:26.139037+00:00,P2,4.77
42,SDS011,19,0.323,32.576,2018-02-21T08:17:26.139037+00:00,P1,7.4
42,SDS011,19,0.323,32.576,2018-02-21T08:17:27.965696+00:00,humidity,61
42,SDS011,19,0.323,32.576,2018-02-21T08:17:27.965696+00:00,temperature,27
42,SDS011,19,0.323,32.576,2018-02-21T08:19:57.377551+00:00,P2,4.67
42,SDS011,19,0.323,32.576,2018-02-21T08:19:57.377551+00:00,P1,9.5
42,SDS011,19,0.323,32.576,2018-02-21T08:19:59.288403+00:00,humidity,61
42,SDS011,19,0.323,32.576,2018-02-21T08:19:59.288403+00:00,temperature,27
42,SDS011,19,0.323,32.576,2018-02-21T08:22:31.850105+00:00,P2,4.8
42,SDS011,19,0.323,32.576,2018-02-21T08:22:31.850105+00:00,P1,6.53
42,SDS011,19,0.323,32.576,2018-02-21T08:22:33.981923+00:00,humidity,61.1
42,SDS011,19,0.323,32.576,2018-02-21T08:22:33.981923+00:00,temperature,26.9
42,SDS011,19,0.323,32.576,2018-02-21T08:25:04.019776+00:00,P2,4.33
42,SDS011,19,0.323,32.576,2018-02-21T08:25:04.019776+00:00,P1,6.8
42,SDS011,19,0.323,32.576,2018-02-21T08:25:06.009040+00:00,humidity,61.2
42,SDS011,19,0.323,32.576,2018-02-21T08:25:06.009040+00:00,temperature,26.9
42,SDS011,19,0.323,32.576,2018-02-21T08:27:35.320425+00:00,P2,4.3
42,SDS011,19,0.323,32.576,2018-02-21T08:27:35.320425+00:00,P1,7.57
42,SDS011,19,0.323,32.576,2018-02-21T08:27:37.450162+00:00,humidity,61.4
42,SDS011,19,0.323,32.576,2018-02-21T08:27:37.450162+00:00,temperature,26.8
42,SDS011,19,0.323,32.576,2018-02-21T08:30:06.684178+00:00,P2,4.6
42,SDS011,19,0.323,32.576,2018-02-21T08:30:06.684178+00:00,P1,6.93
42,SDS011,19,0.323,32.576,2018-02-21T08:30:08.521428+00:00,humidity,61.5
42,SDS011,19,0.323,32.576,2018-02-21T08:30:08.521428+00:00,temperature,26.8
42,SDS011,19,0.323,32.576,2018-02-21T08:32:40.515612+00:00,P2,5.07
42,SDS011,19,0.323,32.576,2018-02-21T08:32:40.515612+00:00,P1,11.77
42,SDS011,19,0.323,32.576,2018-02-21T08:32:42.441876+00:00,humidity,61.7
42,SDS011,19,0.323,32.576,2018-02-21T08:32:42.441876+00:00,temperature,26.8
42,SDS011,19,0.323,32.576,2018-02-21T08:35:14.160218+00:00,P2,3.67
42,SDS011,19,0.323,32.576,2018-02-21T08:35:14.160218+00:00,P1,5.83
42,SDS011,19,0.323,32.576,2018-02-21T08:35:15.881279+00:00,humidity,61.5
42,SDS011,19,0.323,32.576,2018-02-21T08:35:15.881279+00:00,temperature,26.8
42,SDS011,19,0.323,32.576,2018-02-21T08:37:44.988898+00:00,P2,3.73
42,SDS011,19,0.323,32.576,2018-02-21T08:37:44.988898+00:00,P1,7.03
42,SDS011,19,0.323,32.576,2018-02-21T08:37:47.064502+00:00,humidity,61.6
42,SDS011,19,0.323,32.576,2018-02-21T08:37:47.064502+00:00,temperature,26.8
42,SDS011,19,0.323,32.576,2018-02-21T08:40:18.854017+00:00,P2,3.7
42,SDS011,19,0.323,32.576,2018-02-21T08:40:18.854017+00:00,P1,8.2
42,SDS011,19,0.323,32.576,2018-02-21T08:40:22.354263+00:00,humidity,61.5
42,SDS011,19,0.323,32.576,2018-02-21T08:40:22.354263+00:00,temperature,26.8
42,SDS011,19,0.323,32.576,2018-02-21T08:42:51.562666+00:00,P2,3.67
42,SDS011,19,0.323,32.576,2018-02-21T08:42:51.562666+00:00,P1,12.73
42,SDS011,19,0.323,32.576,2018-02-21T08:42:53.897245+00:00,humidity,61.5
42,SDS011,19,0.323,32.576,2018-02-21T08:42:53.897245+00:00,temperature,26.9
42,SDS011,19,0.323,32.576,2018-02-21T08:45:22.991777+00:00,P2,3.9
42,SDS011,19,0.323,32.576,2018-02-21T08:45:22.991777+00:00,P1,7.93
42,SDS011,19,0.323,32.576,2018-02-21T08:45:24.823411+00:00,humidity,61.5
42,SDS011,19,0.323,32.576,2018-02-21T08:45:24.823411+00:00,temperature,26.9
42,SDS011,19,0.323,32.576,2018-02-21T08:47:55.426153+00:00,P2,4.6
42,SDS011,19,0.323,32.576,2018-02-21T08:47:55.426153+00:00,P1,7.13
42,SDS011,19,0.323,32.576,2018-02-21T08:47:56.858332+00:00,humidity,61.6
42,SDS011,19,0.323,32.576,2018-02-21T08:47:56.858332+00:00,temperature,26.9
42,SDS011,19,0.323,32.576,2018-02-21T08:50:25.678670+00:00,P2,3.87
42,SDS011,19,0.323,32.576,2018-02-21T08:50:25.678670+00:00,P1,8.4
